Register Number,Student Name,Class,Study Centre Code,Study Centre Name
2024-YOB-001,Fathima Rashida K,M1,YOB-001,Mahdiyyah Study Centre Calicut
2024-YOB-002,Aisha Siddiqua P,M1,YOB-001,Mahdiyyah Study Centre Calicut
2024-YOB-003,Mariyam Noor T,M2,YOB-001,Mahdiyyah Study Centre Calicut
2024-YOB-004,Zainab Firdous A,M2,YOB-001,Mahdiyyah Study Centre Calicut
2024-YOB-005,Hafsa Beevi M,M3,YOB-001,Mahdiyyah Study Centre Calicut
2024-YOB-006,Ruqayya Binth S,M3,YOB-001,Mahdiyyah Study Centre Calicut
2024-YOB-007,Ummu Kulsum R,M4,YOB-001,Mahdiyyah Study Centre Calicut
2024-YOB-008,Safiya Banu K,M4,YOB-001,Mahdiyyah Study Centre Calicut
2024-YOB-009,Khadija Beevi T,M5,YOB-001,Mahdiyyah Study Centre Calicut
2024-YOB-010,Maryam Zubair N,M5,YOB-001,Mahdiyyah Study Centre Calicut
2024-YOB-011,Nusaiba Faisal C,M1,YOB-002,Mahdiyyah Study Centre Malappuram
2024-YOB-012,Rayhana Binth A,M1,YOB-002,Mahdiyyah Study Centre Malappuram
2024-YOB-013,Sumayya Khalid P,M2,YOB-002,Mahdiyyah Study Centre Malappuram
2024-YOB-014,Asma Binth R,M2,YOB-002,Mahdiyyah Study Centre Malappuram
2024-YOB-015,Rumaisa Noor K,M3,YOB-002,Mahdiyyah Study Centre Malappuram
2024-YOB-016,Fatima Zahra M,M3,YOB-002,Mahdiyyah Study Centre Malappuram
2024-YOB-017,Bilqis Banu S,M4,YOB-002,Mahdiyyah Study Centre Malappuram
2024-YOB-018,Safura Binth T,M4,YOB-002,Mahdiyyah Study Centre Malappuram
2024-YOB-019,Lubna Firdous A,M5,YOB-002,Mahdiyyah Study Centre Malappuram
2024-YOB-020,Nafeesa Beevi K,M5,YOB-002,Mahdiyyah Study Centre Malappuram
